"city","horizon","date","forecasted_customers","Juniors","Experts","PR_raw","Promotion","Fj","Fx","W","is_weekend","assisted_customers","customers_by_experts","customers_by_juniors","units_expert","units_junior","profit_client_expert","profit_client_junior","total_units","revenue","cost_junior","cost_expert","hr_cost","daily_profit","total_hr"
"baltimore_multi",2,2014-02-10,53,6,5,0.121834501624107,0.12,1,1.15,700,FALSE,53,35,18,18,16,17,15,918,865,60,80,760,105,11
"baltimore_multi",1,2014-03-09,87,7,6,0.106678679585457,0.11,1,1.15,700,FALSE,84,42,42,18,16,17,15,1428,1344,60,80,900,444,13
"baltimore_multi",3,2014-03-18,56,6,4,0.0632786601781845,0.06,1,1.15,700,FALSE,56,28,28,17,15,17,15,896,896,60,80,680,216,10
"baltimore_multi",4,2014-04-02,71,4,8,0.165897130966187,0.17,1,1.15,700,FALSE,71,56,15,19,16,17,14,1304,1162,60,80,880,282,12
"baltimore_multi",5,2014-04-10,71,6,7,0.161027386784554,0.16,1,1.15,700,FALSE,71,49,22,19,16,17,14,1283,1141,60,80,920,221,13
"baltimore_multi",7,2014-04-12,155,6,14,0.198236286640167,0.2,1,1.15,700,FALSE,134,98,36,20,17,17,15,2572,2206,60,80,1480,726,20
"baltimore_multi",6,2014-05-02,95,5,9,0.138228520750999,0.14,1,1.15,700,FALSE,93,63,30,19,16,18,15,1677,1584,60,80,1020,564,14
"lancaster_multi",5,2014-03-06,74,5,7,0.165960893034935,0.17,1.05,1.2,730,FALSE,74,49,25,20,17,18,15,1405,1257,60,80,860,397,12
"lancaster_multi",7,2014-03-08,153,10,11,0.136767461895943,0.14,1.05,1.2,730,FALSE,137,77,60,19,17,18,16,2483,2346,60,80,1480,866,21
"lancaster_multi",3,2014-04-08,85,9,5,0.134787559509277,0.13,1.05,1.2,730,FALSE,85,35,50,19,17,18,16,1515,1430,60,80,940,490,14
"lancaster_multi",1,2014-04-27,130,10,7,0.159538820385933,0.16,1.05,1.2,730,FALSE,109,49,60,20,17,18,15,2000,1782,60,80,1160,622,17
"lancaster_multi",6,2014-05-09,112,11,7,0.130304738879204,0.13,1.05,1.2,730,FALSE,112,49,63,19,17,18,16,2002,1890,60,80,1220,670,18
"lancaster_multi",4,2014-05-14,77,6,6,0.130300104618073,0.13,1.05,1.2,730,FALSE,77,42,35,19,17,18,16,1393,1316,60,80,840,476,12
"lancaster_multi",2,2014-06-02,71,5,7,0.160895735025406,0.16,1.05,1.2,730,FALSE,71,49,22,20,17,18,15,1354,1212,60,80,860,352,12
"philadelphia_multi",6,2014-01-24,201,11,12,0.147743880748749,0.15,1.1,1.15,760,FALSE,150,84,66,19,18,17,16,2784,2484,60,80,1620,864,23
"philadelphia_multi",2,2014-03-24,132,8,8,0.0820721089839935,0.08,1.1,1.15,760,FALSE,104,56,48,18,17,18,17,1824,1824,60,80,1120,704,16
"philadelphia_multi",5,2014-05-01,157,9,10,0.133468121290207,0.13,1.1,1.15,760,FALSE,124,70,54,18,18,17,17,2232,2108,60,80,1340,768,19
"philadelphia_multi",1,2014-05-04,230,12,11,0.137566968798637,0.14,1.1,1.15,760,FALSE,149,77,72,18,18,17,17,2682,2533,60,80,1600,933,23
"philadelphia_multi",4,2014-05-07,128,9,9,0.169060915708542,0.17,1.1,1.15,760,FALSE,117,63,54,19,18,17,16,2169,1935,60,80,1260,675,18
"philadelphia_multi",7,2014-05-17,321,13,5,0.134298041462898,0.13,1.1,1.15,760,FALSE,113,35,78,18,18,17,17,2034,1921,60,80,1180,741,18
"philadelphia_multi",3,2014-05-20,167,12,11,0.139152690768242,0.14,1.1,1.15,760,FALSE,149,77,72,19,18,18,17,2759,2610,60,80,1600,1010,23
"richmond_multi",2,2014-02-03,39,2,4,0.113134443759918,0.11,1.15,1.25,800,FALSE,39,28,11,20,18,19,17,758,719,60,80,440,279,6
"richmond_multi",5,2014-03-13,38,4,3,0.172390535473824,0.17,1.15,1.25,800,FALSE,38,21,17,21,19,19,17,764,688,60,80,480,208,7
"richmond_multi",7,2014-04-12,99,7,8,0.174378469586372,0.17,1.15,1.25,800,FALSE,98,56,42,21,19,19,17,1974,1778,60,80,1060,718,15
"richmond_multi",1,2014-04-13,73,4,7,0.142486602067947,0.14,1.15,1.25,800,FALSE,73,49,24,20,19,18,17,1436,1290,60,80,800,490,11
"richmond_multi",6,2014-05-09,60,8,5,0.102171346545219,0.1,1.15,1.25,800,FALSE,60,35,25,20,18,19,17,1150,1090,60,80,880,210,13
"richmond_multi",3,2014-05-13,40,6,4,0.162103191018105,0.16,1.15,1.25,800,FALSE,40,28,12,21,19,19,17,816,736,60,80,680,56,10
"richmond_multi",4,2014-05-14,40,4,2,0.115685373544693,0.12,1.15,1.25,800,FALSE,38,14,24,20,18,19,17,712,674,60,80,400,274,6
